,Стоимость,Модель,Год выпуска,Город,Пробег,Объём двигателя,Тип топлива,Тип подачи топлива,Тактность,Коробка передач
185,40000 ₽,Иж 5, 1995,Уфа,999 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
186,40000 ₽,Минск C 125, 1991,Батайск,13 012 км,125 куб. см.,бензин,карбюратор,2-тактный,механика
187,40000 ₽,Racer Magnum RC250-C5B, 2020,Могзон,5 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
188,40000 ₽,Иж 56, 1960,Назарово,3 600 км,350 куб. см.,бензин,карбюратор,-,механика
189,40000 ₽,Alpha Alpha, 2012,Прокопьевск,83 км,107 куб. см.,бензин,-,4-тактный,-
190,40000 ₽,Иж Планета 3, 1942,Угловское,4 217 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
191,40000 ₽,Урал ИМЗ 8.103-10, 1989,Владивосток,-,650 куб. см.,-,карбюратор,-,механика
192,40000 ₽,Минск ММВЗ-3.112, 1991,Чистополь,2 000 км,125 куб. см.,бензин,карбюратор,2-тактный,механика
193,40000 ₽,Racer Nitro RC200-CK, 2016,Таштагол,20 000 км,200 куб. см.,бензин,-,4-тактный,-
194,40000 ₽,Урал М-67, 1986,Бичура,-,650 куб. см.,бензин,карбюратор,4-тактный,механика
195,40000 ₽,Alpha 110, 2020,Абакан,5 000 км,110 куб. см.,-,карбюратор,4-тактный,механика
196,40000 ₽,ABM ABM, 2023,Нововеличковская,850 км,125 куб. см.,бензин,карбюратор,4-тактный,механика
197,40000 ₽,Урал М-67, 1975,Улеты,140 000 км,672 куб. см.,бензин,карбюратор,4-тактный,механика
198,40000 ₽,ТМЗ Муравей, 1992,Минусинск,10 000 км,199 куб. см.,бензин,карбюратор,2-тактный,механика
199,40000 ₽,Урал М-67, 1978,Кирсанов,53 000 км,750 куб. см.,бензин,карбюратор,4-тактный,механика
200,40000 ₽,Иж Юпитер 5, 1989,Павловск,80 000 км,350 куб. см.,бензин,инжектор,2-тактный,механика
201,40000 ₽,Урал ИМЗ 8.103-10, 1989,Владивосток,-,650 куб. см.,бензин,карбюратор,-,механика
202,40000 ₽,Regulmoto Seven 125E, 2020,Уссурийск,1 000 км,125 куб. см.,бензин,карбюратор,4-тактный,механика
203,40000 ₽,Suzuki RG 125, 1986,Троицкое,35 000 км,125 куб. см.,бензин,карбюратор,2-тактный,механика
204,40000 ₽,Иж Планета 5, 1988,Михайловское,7 700 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
205,40000 ₽,Иж Планета 5, 1987,Прокопьевск,9 999 999 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
206,40000 ₽,Иж Юпитер 2, 1995,Брянск,-,250 куб. см.,-,-,-,-
207,40000 ₽,Иж Юпитер 4, 1970,Саратов,10 000 км,1000 куб. см.,-,-,-,-
208,40000 ₽,Иж Юпитер 2, 1966,Барнаул,3 000 км,250 куб. см.,-,-,-,-
209,40000 ₽,Wels CRF 125, 2022,Просвет,34 250 км,125 куб. см.,бензин,карбюратор,4-тактный,механика
210,40000 ₽,Yamaha Serow, 2000,Большой Камень,-,20 куб. см.,бензин,-,-,-
211,40000 ₽,Минск ММВЗ-3.115, 1977,Ухта,8 000 км,125 куб. см.,бензин,карбюратор,2-тактный,механика
212,40000 ₽,Турист Турист, 1992,Урай,5 000 км,650 куб. см.,бензин,карбюратор,4-тактный,механика
213,40000 ₽,Урал 5557, 1992,Барнаул,21 000 км,680 куб. см.,бензин,-,4-тактный,-
214,40000 ₽,AJ1 K10 TS300, 1990,Детчино,1 000 км,1 куб. см.,бензин,карбюратор,2-тактный,механика
215,40000 ₽,Мотоальфа A-1, 2003,Горные Ключи,1 000 км,79 куб. см.,бензин,карбюратор,2-тактный,механика
