,Стоимость,Модель,Год выпуска,Город,Пробег,Объём двигателя,Тип топлива,Тип подачи топлива,Тактность,Коробка передач
6292,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Новосибирск,1 км,280 куб. см.,бензин,карбюратор,4-тактный,механика
6293,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Томск,-,300 куб. см.,бензин,карбюратор,4-тактный,механика
6294,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Новосибирск,-,300 куб. см.,бензин,-,4-тактный,-
6295,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Благовещенск,-,300 куб. см.,бензин,-,4-тактный,механика
6296,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Уссурийск,-,300 куб. см.,бензин,карбюратор,4-тактный,механика
6297,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Чита,-,300 куб. см.,бензин,-,4-тактный,механика
6298,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Хабаровск,-,271 куб. см.,бензин,карбюратор,4-тактный,механика
6299,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Новосибирск,-,300 куб. см.,бензин,карбюратор,4-тактный,механика
6300,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Владивосток,-,300 куб. см.,бензин,карбюратор,4-тактный,механика
6301,291000 ₽,Regulmoto Holeshot, 2024,Бийск,-,300 куб. см.,бензин,-,4-тактный,-
6302,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Благовещенск,-,300 куб. см.,бензин,-,4-тактный,-
6303,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Красноярск,-,300 куб. см.,бензин,-,4-тактный,-
6304,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Новокузнецк,-,300 куб. см.,бензин,-,4-тактный,-
6305,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Уссурийск,-,300 куб. см.,бензин,-,4-тактный,-
6306,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Новосибирск,-,300 куб. см.,бензин,-,4-тактный,-
6307,291000 ₽,Regulmoto Holeshot Red Edition, 2024,Комсомольск-на-Амуре,-,300 куб. см.,бензин,карбюратор,4-тактный,механика
6308,291900 ₽,Regulmoto Holeshot Red Edition, 2024,Барнаул,-,250 куб. см.,бензин,-,4-тактный,-
6309,292000 ₽,Bajaj Avenger 220 Cruise, 2024,Владивосток,-,219 куб. см.,бензин,карбюратор,4-тактный,механика
6310,293490 ₽,GR GR8 F300A Enduro Optimum, 2024,Бийск,-,300 куб. см.,бензин,-,4-тактный,-
6311,293500 ₽,Sharmax PowerMax 330, 2024,Черемхово,150 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6312,294990 ₽,GR GR7 F300A Enduro Optimum, 2024,Красноярск,-,300 куб. см.,бензин,карбюратор,4-тактный,механика
6313,294990 ₽,Kayo T4 300 Enduro PR, 2024,Томск,-,271 куб. см.,бензин,карбюратор,4-тактный,механика
6314,295000 ₽,Suzuki Gixxer 150, 2018,Улан-Удэ,19 100 км,155 куб. см.,бензин,инжектор,4-тактный,механика
6315,295000 ₽,GR GR7 T250L Enduro Pro, 2022,Находка,1 км,250 куб. см.,бензин,карбюратор,2-тактный,-
6316,295000 ₽,JHL JHL, 2024,Владивосток,850 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
6317,295000 ₽,Suzuki Djebel 250, 1997,Владивосток,26 799 км,249 куб. см.,бензин,карбюратор,4-тактный,механика
6318,295000 ₽,GR GR8 T250L Enduro Pro, 2022,Владивосток,-,250 куб. см.,-,-,-,-
6319,295000 ₽,Yamaha YZF-R15, 2020,Уссурийск,-,150 куб. см.,бензин,-,4-тактный,-
6320,295000 ₽,Kawasaki Super Sherpa, 2005,Барнаул,27 008 км,250 куб. см.,бензин,-,4-тактный,-
6321,295000 ₽,Kawasaki ZZR 400 2, 2001,Абакан,55 000 км,400 куб. см.,бензин,-,4-тактный,-
6322,295000 ₽,Honda CRF 150R, 2007,Владивосток,-,150 куб. см.,-,карбюратор,-,механика
6323,295000 ₽,Regulmoto Crosstrec 300, 2024,Калачинск,1 900 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
6324,295000 ₽,BMW F 650 ST, 1997,Лысково,53 000 км,650 куб. см.,бензин,карбюратор,-,механика
6325,295000 ₽,Regulmoto Holeshot Red Edition, 2024,Емельяново,150 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
6326,295000 ₽,Honda CB 400SF Version S, 1995,Чик,28 000 км,400 куб. см.,бензин,карбюратор,4-тактный,механика
6327,295000 ₽,Kawasaki KLE 250, 1999,Таштагол,29 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6328,295000 ₽,Suzuki DR 250R, 1995,Барнаул,21 276 км,249 куб. см.,бензин,карбюратор,4-тактный,механика
6329,295000 ₽,Kawasaki KLX 250, 2005,Свободный,25 700 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6330,295000 ₽,KTM 390 Duke, 2014,Япония<!-- --> <!-- -->→<!-- --> <!-- -->Владивосток,16 417 км,390 куб. см.,бензин,инжектор,4-тактный,механика
6331,295000 ₽,GR GR7 F300L Enduro Optimum, 2023,Ленино,23 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
6332,295000 ₽,Avantis Enduro 300 Pro EFI, 2020,Краснодар,10 км,300 куб. см.,-,-,-,-
6333,295000 ₽,Honda CBR 250R, 2011,Новосибирск,15 227 км,249 куб. см.,бензин,инжектор,4-тактный,механика
6334,295000 ₽,Урал М-72, 1956,Омск,15 300 км,749 куб. см.,бензин,карбюратор,-,механика
6335,295000 ₽,Kews K16 NB300, 2025,Новосибирск,1 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
6336,295000 ₽,Honda CBR 150R, 2004,Владивосток,19 998 км,150 куб. см.,бензин,-,4-тактный,-
6337,295000 ₽,Yamaha TT-R 250, 1998,Владивосток,1 км,249 куб. см.,бензин,карбюратор,4-тактный,механика
6338,295000 ₽,FXmoto FXmoto, 2024,Донецк,-,300 куб. см.,-,карбюратор,4-тактный,механика
6339,295000 ₽,Yamaha XVS 400, 2004,Владивосток,58 128 км,399 куб. см.,бензин,карбюратор,4-тактный,механика
6340,295000 ₽,Zuumav FX K8 NB300, 2025,Кемерово,-,300 куб. см.,бензин,карбюратор,4-тактный,механика
6341,295000 ₽,Regulmoto Alien Monster 300, 2021,Арзамас,5 000 км,300 куб. см.,бензин,-,4-тактный,-
6342,295000 ₽,Honda XR 250, 2003,Красноярск,26 000 км,250 куб. см.,бензин,-,4-тактный,-
6343,295000 ₽,Yamaha XJR 1200, 1994,Владивосток,36 000 км,1200 куб. см.,бензин,карбюратор,4-тактный,механика
6344,295000 ₽,Kawasaki Ninja 400, 2011,Хабаровск,69 331 км,400 куб. см.,бензин,инжектор,4-тактный,механика
6345,295000 ₽,Honda CB 400, 1994,Емельяново,39 000 км,399 куб. см.,бензин,карбюратор,4-тактный,механика
6346,295000 ₽,Suzuki GS 500, 2006,Ростов-на-Дону,48 000 км,500 куб. см.,бензин,карбюратор,2-тактный,механика
6347,295000 ₽,Suzuki GSX 600F Katana, 1998,Калуга,-,600 куб. см.,-,-,-,-
6348,297000 ₽,Yamaha XVS, 1998,Минусинск,100 000 км,400 куб. см.,бензин,-,4-тактный,-
6349,297000 ₽,Kawasaki ZZR 400, 1994,Барнаул,42 000 км,400 куб. см.,бензин,карбюратор,-,механика
6350,297000 ₽,Racer RC200, 2023,Красноярск,8 км,250 куб. см.,бензин,карбюратор,-,-
6351,297000 ₽,Honda XR 250R, 1991,Уссурийск,15 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6352,297000 ₽,Yamaha Virago, 1994,Минусинск,100 000 км,400 куб. см.,бензин,-,4-тактный,-
6353,297000 ₽,Kawasaki KX 65, 2004,Красноярск,10 км,65 куб. см.,бензин,-,2-тактный,-
6354,298000 ₽,Regulmoto Sport-003 PR Pro, 2024,Черемхово,20 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
6355,298000 ₽,KTM 640 Duke II, 2000,Ялта,22 800 км,640 куб. см.,бензин,карбюратор,4-тактный,механика
6356,298000 ₽,Suzuki Djebel, 2003,Владивосток,3 000 км,200 куб. см.,бензин,-,4-тактный,-
6357,298000 ₽,Suzuki SFV 400 Gladius, 2010,Япония<!-- --> <!-- -->→<!-- --> <!-- -->Хабаровск,-,400 куб. см.,бензин,инжектор,4-тактный,механика
6358,298700 ₽,Yamaha XTZ 125, 2018,Хабаровск,7 315 км,125 куб. см.,бензин,карбюратор,4-тактный,механика
6359,299000 ₽,Kawasaki Ninja ZX-7R, 2002,Севастополь,58 000 км,748 куб. см.,бензин,карбюратор,4-тактный,механика
6360,299000 ₽,Yamaha MT-03, 2008,Барнаул,29 000 км,660 куб. см.,бензин,инжектор,4-тактный,механика
6361,299000 ₽,Yamaha XT 250, 2005,Владивосток,21 247 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6362,299000 ₽,Kawasaki ZZR 400, 2001,Уссурийск,26 575 км,400 куб. см.,бензин,карбюратор,4-тактный,механика
6363,299000 ₽,Regulmoto Crosstrec 300, 2024,Черниговка,-,300 куб. см.,бензин,-,4-тактный,-
6364,299000 ₽,Kawasaki ZZR 1100D, 1998,Владивосток,30 594 км,1052 куб. см.,бензин,карбюратор,4-тактный,механика
6365,299000 ₽,Kawasaki Ninja 400R, 2011,Владивосток,33 325 км,400 куб. см.,бензин,инжектор,4-тактный,механика
6366,299000 ₽,Kawasaki ZZR 1100D, 1998,Владивосток,28 110 км,1052 куб. см.,бензин,карбюратор,4-тактный,механика
6367,299000 ₽,Regulmoto Crosstrec 300, 2024,Благовещенск,-,300 куб. см.,бензин,-,4-тактный,-
6368,299000 ₽,Suzuki Gixxer SF 150, 2020,Владивосток,2 715 км,150 куб. см.,бензин,инжектор,4-тактный,механика
6369,299000 ₽,Yamaha Serow, 2005,Северск,31 000 км,250 куб. см.,-,карбюратор,4-тактный,механика
6370,299000 ₽,Иж Планета 7, 1990,Яшкино,5 953 км,350 куб. см.,бензин,-,2-тактный,-
6371,299000 ₽,Yamaha WR 250F, 2001,Владивосток,18 281 км,249 куб. см.,бензин,карбюратор,4-тактный,механика
6372,299000 ₽,Ducati 1199 Panigale R, 2024,Новосибирск,-,3000 куб. см.,электро,-,-,-
6373,299000 ₽,Regulmoto Crosstrec 300, 2024,Новосибирск,-,300 куб. см.,бензин,-,4-тактный,-
6374,299000 ₽,Regulmoto Crosstrec 300, 2024,Комсомольск-на-Амуре,-,300 куб. см.,бензин,-,4-тактный,-
6375,299000 ₽,Honda VFR 750, 1997,Черниговка,56 000 км,750 куб. см.,бензин,-,4-тактный,-
6376,299000 ₽,Kayo KT250, 2023,Омск,-,249 куб. см.,бензин,карбюратор,2-тактный,механика
6377,299000 ₽,Avantis Enduro 300 Pro EFI, 2020,Барнаул,120 км,300 куб. см.,бензин,инжектор,4-тактный,механика
6378,299000 ₽,Procida NB300, 2024,Бийск,-,280 куб. см.,бензин,карбюратор,4-тактный,механика
6379,299000 ₽,Regulmoto Crosstrec 300, 2024,Владивосток,-,300 куб. см.,бензин,карбюратор,4-тактный,механика
6380,299000 ₽,Honda Transalp 400, 1994,Сибирцево,-,399 куб. см.,бензин,карбюратор,4-тактный,механика
6381,299000 ₽,BRZ X6M, 2023,Красноярск,-,300 куб. см.,бензин,-,4-тактный,-
6382,299000 ₽,Regulmoto Crosstrec 300, 2024,Свободный,-,300 куб. см.,бензин,карбюратор,4-тактный,-
6383,299000 ₽,Suzuki GSR 400, 2006,Владивосток,33 000 км,400 куб. см.,бензин,-,4-тактный,-
6384,299000 ₽,Regulmoto Crosstrec 300, 2024,Новосибирск,-,300 куб. см.,бензин,-,4-тактный,-
6385,299000 ₽,Honda VTR 1000F, 1997,Владивосток,43 421 км,1000 куб. см.,бензин,карбюратор,4-тактный,механика
6386,299000 ₽,Suzuki GSX, 2017,Красноярск,4 900 км,124 куб. см.,бензин,-,4-тактный,-
6387,299000 ₽,Regulmoto Crosstrec 300, 2024,Уссурийск,-,300 куб. см.,бензин,-,4-тактный,-
6388,299000 ₽,Regulmoto Crosstrec 300, 2024,Комсомольск-на-Амуре,-,300 куб. см.,бензин,-,4-тактный,-
6389,299000 ₽,Regulmoto Crosstrec 300, 2024,Томск,-,292 куб. см.,бензин,-,4-тактный,-
6390,299000 ₽,Regulmoto Crosstrec 300, 2024,Бийск,-,300 куб. см.,бензин,-,4-тактный,-
6391,299000 ₽,Honda CB 400SF, 1993,Мегет,-,400 куб. см.,бензин,-,4-тактный,механика
6392,299000 ₽,Regulmoto Crosstrec 300, 2024,Уссурийск,-,300 куб. см.,бензин,-,4-тактный,-
6393,299000 ₽,Zuumav CBS 300PRO, 2024,Владивосток,-,300 куб. см.,бензин,-,4-тактный,-
6394,299900 ₽,Regulmoto Legend 300, 2023,Новосибирск,-,300 куб. см.,бензин,-,4-тактный,-
6395,299900 ₽,SPR-Motors Hard 250, 2025,Новосибирск,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
6396,299900 ₽,SPR-Motors Bullet 300, 2024,Новосибирск,-,-,бензин,-,4-тактный,-
6397,299990 ₽,GR GR8 F300L Enduro Optimum, 2024,Кемерово,-,271 куб. см.,бензин,инжектор,4-тактный,механика
6398,299990 ₽,Avantis LX 300, 2022,Новый Уренгой,50 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
6399,299999 ₽,KTM RC 200, 2015,Новосибирск,11 230 км,200 куб. см.,бензин,инжектор,4-тактный,механика
6400,299999 ₽,Honda XR 250, 2005,Иркутск,5 000 км,250 куб. см.,бензин,-,4-тактный,-
6401,299999 ₽,Kawasaki Ninja, 2010,Уссурийск,12 800 км,250 куб. см.,бензин,инжектор,4-тактный,механика
6402,299999 ₽,Regulmoto Crosstrec 300, 2024,Хабаровск,-,300 куб. см.,бензин,-,4-тактный,механика
6403,299999 ₽,AJ1 K10 TS300, 2025,Китай<!-- --> <!-- -->→<!-- --> <!-- -->Уссурийск,-,250 куб. см.,бензин,инжектор,4-тактный,механика
6404,299999 ₽,Yamaha WR 250F, 2006,Москва,1 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6405,299999 ₽,Honda CB 400SF VTEC-2, 2003,Чегдомын,38 000 км,400 куб. см.,бензин,карбюратор,4-тактный,механика
6406,299999 ₽,Kawasaki GPZ 1100, 1995,Арсеньев,59 000 км,1100 куб. см.,бензин,карбюратор,4-тактный,механика
6407,300000 ₽,GR GR7 T250L Enduro Lite, 2022,Спасск-Дальний,-,250 куб. см.,бензин,карбюратор,2-тактный,механика
6408,300000 ₽,Kawasaki VN Vulcan 400, 1996,Томск,253 612 км,400 куб. см.,бензин,-,4-тактный,-
6409,300000 ₽,Kawasaki KSR110, 2014,Владивосток,5 578 км,110 куб. см.,бензин,инжектор,4-тактный,механика
6410,300000 ₽,Honda CBR 929RR, 2001,Чита,-,929 куб. см.,бензин,-,4-тактный,-
6411,300000 ₽,Honda VFR 800, 1998,Чита,53 000 км,800 куб. см.,-,инжектор,-,механика
6412,300000 ₽,Kawasaki Super Sherpa, 2007,Камень-Рыболов,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
6413,300000 ₽,Yamaha 450, 2011,Курагино,100 км,450 куб. см.,бензин,инжектор,4-тактный,механика
6414,300000 ₽,Honda XR 250, 1997,Тында,24 000 км,250 куб. см.,бензин,-,4-тактный,-
6415,300000 ₽,Yamaha TDM 850, 1999,Лесозаводск,-,850 куб. см.,бензин,карбюратор,4-тактный,механика
6416,300000 ₽,Honda XR 400R, 2004,Находка,-,400 куб. см.,бензин,карбюратор,4-тактный,механика
6417,300000 ₽,Yamaha TDM 850, 1999,Качканар,80 000 км,850 куб. см.,бензин,карбюратор,4-тактный,механика
6418,300000 ₽,ZMmoto ZMmoto, 2023,Омск,125 км,280 куб. см.,бензин,-,4-тактный,-
6419,300000 ₽,Yamaha YZF-R15, 2020,Хабаровск,15 000 км,155 куб. см.,бензин,-,4-тактный,-
6420,300000 ₽,Kews Kews, 2024,Курган,-,287 куб. см.,бензин,карбюратор,4-тактный,механика
6421,300000 ₽,Honda CBR 250R, 2013,Тюмень,26 915 км,250 куб. см.,бензин,инжектор,4-тактный,механика
6422,300000 ₽,Avantis Enduro 300 Pro EFI Exclusive ARS, 2021,Заозёрный,2 000 км,300 куб. см.,бензин,-,4-тактный,-
6423,300000 ₽,Kawasaki Kawasaki, 1999,Красноярск,-,400 куб. см.,бензин,карбюратор,4-тактный,механика
6424,300000 ₽,GR GR7 F300L Enduro Optimum, 2024,Набережные Челны,180 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
6425,300000 ₽,Yamaha YZ 450F, 2003,Находка,-,450 куб. см.,бензин,-,4-тактный,-
6426,300000 ₽,Kawasaki ZZR 600, 2004,Завитинск,72 000 км,600 куб. см.,-,карбюратор,4-тактный,механика
6427,300000 ₽,Husqvarna SM 610, 2007,Нижневартовск,22 000 км,610 куб. см.,бензин,-,4-тактный,-
6428,300000 ₽,Honda CB 400SF, 1995,Красноярск,53 000 км,400 куб. см.,бензин,карбюратор,4-тактный,механика
6429,300000 ₽,Suzuki GSX-R 400, 1992,Нижнеудинск,31 700 км,400 куб. см.,бензин,карбюратор,4-тактный,-
6430,300000 ₽,Kawasaki Ninja 650, 2007,Берёзовский,30 000 км,650 куб. см.,бензин,инжектор,4-тактный,механика
6431,300000 ₽,Kawasaki Ninja ZX-9R, 1998,Вилючинск,-,900 куб. см.,бензин,-,4-тактный,-
6432,300000 ₽,Yamaha XT 250, 2005,Уссурийск,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
6433,300000 ₽,Honda XR 250, 1998,Ангарск,35 444 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6434,300000 ₽,BMW R 1100 RS, 1994,Красноярск,45 000 км,1100 куб. см.,бензин,инжектор,4-тактный,механика
6435,300000 ₽,Honda CB 500F, 1998,Гальбштадт,60 000 км,500 куб. см.,бензин,карбюратор,4-тактный,-
6436,300000 ₽,BSE T7, 2024,Новосибирск,-,300 куб. см.,бензин,карбюратор,4-тактный,механика
6437,300000 ₽,Kawasaki Ninja 250R, 2011,Новосибирск,14 000 км,250 куб. см.,бензин,инжектор,4-тактный,механика
6438,300000 ₽,TRX Open 300, 2024,Иркутск,-,300 куб. см.,бензин,карбюратор,4-тактный,механика
6439,300000 ₽,Regulmoto Legend 300, 2024,Якутск,-,300 куб. см.,бензин,карбюратор,4-тактный,-
6440,300000 ₽,Yamaha XG250 Tricker, 2005,Новосибирск,18 770 км,250 куб. см.,бензин,-,4-тактный,-
6441,300000 ₽,Yamaha SZR660, 1999,Екатеринбург,28 289 км,659 куб. см.,бензин,карбюратор,4-тактный,механика
6442,300000 ₽,KTM 250 SX, 2006,Уссурийск,70 км,250 куб. см.,-,карбюратор,2-тактный,механика
6443,300000 ₽,Racer Enduro 300 RC300-GY8A, 2021,Саянск,1 000 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
6444,300000 ₽,Yamaha YZ 250F, 2008,Хабаровск,30 км,250 куб. см.,бензин,карбюратор,4-тактный,-
6445,300000 ₽,Yamaha XVS 400, 2003,Благовещенск,1 км,400 куб. см.,-,карбюратор,4-тактный,механика
6446,300000 ₽,Kawasaki KX 450F, 2016,Прокопьевск,86 км,450 куб. см.,бензин,-,4-тактный,-
6447,300000 ₽,Ява 350, 1969,Хабаровск,68 000 км,350 куб. см.,бензин,-,2-тактный,-
6448,300000 ₽,Ducati 1199 Panigale S, 2024,Новороссийск,2 900 км,-,электро,-,-,автомат
6449,300000 ₽,Honda CBR 250R, 2013,Свободный,6 400 км,250 куб. см.,бензин,-,4-тактный,-
6450,300000 ₽,Kawasaki ER-4n, 2010,Хабаровск,23 648 км,400 куб. см.,бензин,инжектор,4-тактный,механика
6451,300000 ₽,Yamaha TDM 850, 1999,Магдагачи,19 000 км,850 куб. см.,бензин,карбюратор,2-тактный,механика
6452,300000 ₽,Suzuki GSF 600 Bandit, 2003,Иркутск,16 000 км,599 куб. см.,бензин,карбюратор,4-тактный,механика
6453,300000 ₽,Honda CBR, 2011,Кемерово,11 000 км,250 куб. см.,бензин,инжектор,-,механика
6454,300000 ₽,Suzuki Djebel 250, 1996,Шелехов,18 000 км,250 куб. см.,бензин,-,-,-
6455,300000 ₽,Suzuki VL400 Intruder, 1994,Радужный,-,399 куб. см.,бензин,карбюратор,2-тактный,-
6456,300000 ₽,Suzuki RM-Z 450, 2010,Комсомольск-на-Амуре,-,450 куб. см.,бензин,инжектор,4-тактный,механика
6457,300000 ₽,Honda Steed 400, 1995,Новосибирск,56 000 км,400 куб. см.,бензин,карбюратор,4-тактный,механика
6458,300000 ₽,Yamaha Dragstar / V-Star / XVS, 2000,Иркутск,10 000 км,400 куб. см.,бензин,карбюратор,-,механика
6459,300000 ₽,Kawasaki ZZR 400 2, 1998,Кемерово,46 000 км,400 куб. см.,бензин,карбюратор,4-тактный,-
6460,300000 ₽,X-Motors Opti Max, 2022,Свободный,7 км,229 куб. см.,бензин,-,4-тактный,-
6461,300000 ₽,KTM KTM, 2006,Находка,-,250 куб. см.,бензин,-,4-тактный,-
6462,300000 ₽,Yamaha XVS 400, 1996,Нижневартовск,16 000 км,400 куб. см.,бензин,-,4-тактный,-
6463,300000 ₽,Honda XRM, 1991,Партизанск,160 000 км,250 куб. см.,бензин,карбюратор,-,механика
6464,300000 ₽,GR GR8 T250L Enduro Pro, 2023,Владивосток,288 км,250 куб. см.,бензин,карбюратор,2-тактный,механика
6465,300000 ₽,Honda Steed 400, 1998,Хабаровск,43 500 км,400 куб. см.,бензин,карбюратор,4-тактный,механика
6466,300000 ₽,Suzuki RF 400R, 1996,Новосибирск,40 090 км,400 куб. см.,бензин,карбюратор,4-тактный,механика
6467,300000 ₽,Kawasaki KLE 250, 1993,Благовещенск,28 029 км,250 куб. см.,бензин,-,4-тактный,-
6468,300000 ₽,Honda Shadow 400, 2002,Тюмень,42 600 км,400 куб. см.,бензин,карбюратор,4-тактный,механика
6469,300000 ₽,Honda CBR 250R, 2014,Анапа,23 000 км,249 куб. см.,бензин,-,4-тактный,механика
6470,300000 ₽,Минск Goose 400, 2023,Новокузнецк,208 км,400 куб. см.,бензин,карбюратор,4-тактный,механика
6471,300000 ₽,Suzuki Skywave 250, 2007,Новосибирск,42 872 км,250 куб. см.,бензин,-,4-тактный,-
6472,300000 ₽,Honda CB 1000SF, 1995,Благовещенск,35 000 км,1000 куб. см.,бензин,-,-,механика
6473,300000 ₽,Honda CBR 1100XX, 1996,Бузулук,95 000 км,1137 куб. см.,бензин,карбюратор,4-тактный,механика
6474,300000 ₽,Honda CB 400SF VTEC-1, 2001,Лесозаводск,-,400 куб. см.,бензин,карбюратор,4-тактный,механика
6475,300000 ₽,Yamaha YZ 250F, 2009,Тюмень,18 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6476,300000 ₽,Ява 350, 1974,Симферополь,-,350 куб. см.,бензин,карбюратор,2-тактный,механика
6477,300000 ₽,Suzuki Gixxer 150, 2018,Новосибирск,10 563 км,150 куб. см.,бензин,инжектор,4-тактный,механика
6478,300000 ₽,Kawasaki KLX 250, 1998,Уссурийск,-,250 куб. см.,бензин,-,4-тактный,механика
6479,300000 ₽,Avantis Enduro 250 Pro EFI, 2022,Иркутск,250 км,280 куб. см.,бензин,инжектор,4-тактный,механика
6480,300000 ₽,Honda XR 250, 2003,Уссурийск,17 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6481,300000 ₽,Kawasaki Ninja 250R, 2010,Надым,25 000 км,250 куб. см.,бензин,инжектор,4-тактный,механика
6482,300000 ₽,Kawasaki Ninja 250R, 2014,Артём,14 772 км,250 куб. см.,-,инжектор,-,-
6483,300000 ₽,BMW R 1100 RS, 1993,Урай,75 159 км,1100 куб. см.,бензин,-,4-тактный,-
6484,300000 ₽,Yamaha TT-R 250 Open Enduro, 1998,Елизово,20 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6485,300000 ₽,Kawasaki ZZR, 2001,Черепаново,-,400 куб. см.,бензин,карбюратор,4-тактный,механика
6486,300000 ₽,Suzuki RF 900R, 1997,Владивосток,42 000 км,900 куб. см.,бензин,-,4-тактный,-
6487,300000 ₽,Yamaha YZ 250F, 2009,Магадан,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
6488,300000 ₽,Yamaha YZ 450F, 2006,Благовещенск,500 км,450 куб. см.,бензин,-,4-тактный,-
6489,300000 ₽,JHL Z6, 2024,Тюмень,130 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
6490,300000 ₽,Vento Vento, 1997,Находка,6 000 км,250 куб. см.,бензин,-,-,механика
6491,300000 ₽,Honda Steed 400, 1992,Новосибирск,76 000 км,400 куб. см.,-,карбюратор,4-тактный,механика
6492,300000 ₽,Yamaha YZF-R1, 2000,Барнаул,45 000 км,1000 куб. см.,-,карбюратор,-,-
6493,300000 ₽,Kawasaki KDX 200, 1989,Полысаево,-,200 куб. см.,-,-,2-тактный,механика
6494,300000 ₽,BSE T8, 2023,Сосновоборск,50 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6495,300000 ₽,Yamaha TT-R 250 Raid, 1995,Томск,100 км,250 куб. см.,бензин,-,4-тактный,-
6496,300000 ₽,Kawasaki GPZ 1100, 1996,Чита,-,1100 куб. см.,-,-,4-тактный,-
6497,300000 ₽,Suzuki Djebel 250, 1996,Новосибирск,23 000 км,250 куб. см.,-,карбюратор,4-тактный,механика
6498,300000 ₽,Yamaha R1, 1998,Горно-Алтайск,10 000 км,998 куб. см.,бензин,карбюратор,4-тактный,механика
6499,300000 ₽,Honda CRF 250R, 2007,Владивосток,1 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6500,300000 ₽,Yamaha YZ 250F, 2007,Владивосток,1 км,250 куб. см.,бензин,-,4-тактный,-
6501,300000 ₽,Yamaha YBR 250, 2012,Красноярск,23 000 км,250 куб. см.,бензин,-,4-тактный,-
6502,300000 ₽,Honda Steed 400, 1992,Сковородино,40 000 км,400 куб. см.,бензин,карбюратор,4-тактный,механика
6503,300000 ₽,Honda Steed 400, 1994,Комсомольск-на-Амуре,-,400 куб. см.,бензин,карбюратор,4-тактный,механика
6504,300000 ₽,Honda CBR 1000F Hurricane, 1995,Улан-Удэ,75 000 км,1000 куб. см.,бензин,карбюратор,4-тактный,механика
6505,300000 ₽,BMW R 1100 RS, 1993,Владивосток,28 000 км,1100 куб. см.,бензин,инжектор,4-тактный,механика
6506,300000 ₽,Honda XR 250, 2005,Хабаровск,1 300 км,250 куб. см.,бензин,-,4-тактный,-
6507,300000 ₽,Yamaha XJR 400, 1995,Иркутск,12 309 км,400 куб. см.,бензин,карбюратор,-,механика
6508,300000 ₽,Kawasaki GPZ 1100, 1996,Артём,21 399 км,1100 куб. см.,-,карбюратор,-,механика
6509,300000 ₽,Ява 350-634, 1980,Новосибирск,9 000 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
6510,300000 ₽,Kews K20 NC250, 2024,Чита,-,250 куб. см.,бензин,-,4-тактный,механика
6511,300000 ₽,Suzuki SV 400S, 2003,Елизово,24 000 км,400 куб. см.,бензин,-,4-тактный,-
6512,300000 ₽,Урал М-66, 1974,Шелехов,50 км,649 куб. см.,бензин,карбюратор,4-тактный,механика
6513,300000 ₽,Yamaha TT-R 250 Open Enduro, 1993,Новосибирск,10 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
6514,300000 ₽,Ducati 1199 Panigale S, 2024,Кемерово,1 200 км,-,электро,-,-,автомат
6515,300000 ₽,Zuumav FX K8, 2024,Вольно-Надеждинское,1 000 км,250 куб. см.,бензин,карбюратор,2-тактный,механика
